Job runs on node:
eu-g5-047-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=50
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 50 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
Running AE with 8 input qubit and 1 trash qubit in batches of 10

Epoch 28, 	Batch:6, 	Train Loss = 0.177019, 	Val Loss = 0.103190
Epoch 28, 	Batch:7, 	Train Loss = 0.176354, 	Val Loss = 0.103190
Epoch 29, 	Batch:0, 	Train Loss = 0.184458, 	Val Loss = 0.195188
Epoch 29, 	Batch:1, 	Train Loss = 0.178976, 	Val Loss = 0.195188
Epoch 29, 	Batch:2, 	Train Loss = 0.147996, 	Val Loss = 0.195188
Epoch 29, 	Batch:3, 	Train Loss = 0.151761, 	Val Loss = 0.195188
Epoch 29, 	Batch:4, 	Train Loss = 0.156648, 	Val Loss = 0.195188
Epoch 29, 	Batch:5, 	Train Loss = 0.159593, 	Val Loss = 0.195188
Epoch 29, 	Batch:6, 	Train Loss = 0.156010, 	Val Loss = 0.195188
Epoch 29, 	Batch:7, 	Train Loss = 0.154738, 	Val Loss = 0.195188
Epoch 30, 	Batch:0, 	Train Loss = 0.115722, 	Val Loss = 0.199176
Epoch 30, 	Batch:1, 	Train Loss = 0.134804, 	Val Loss = 0.199176
Epoch 30, 	Batch:2, 	Train Loss = 0.115493, 	Val Loss = 0.199176
Epoch 30, 	Batch:3, 	Train Loss = 0.119400, 	Val Loss = 0.199176
Epoch 30, 	Batch:4, 	Train Loss = 0.110551, 	Val Loss = 0.199176
Epoch 30, 	Batch:5, 	Train Loss = 0.121174, 	Val Loss = 0.199176
Epoch 30, 	Batch:6, 	Train Loss = 0.124202, 	Val Loss = 0.199176
Epoch 30, 	Batch:7, 	Train Loss = 0.126755, 	Val Loss = 0.199176
Epoch 31, 	Batch:0, 	Train Loss = 0.166946, 	Val Loss = 0.110481
Epoch 31, 	Batch:1, 	Train Loss = 0.112039, 	Val Loss = 0.110481
Epoch 31, 	Batch:2, 	Train Loss = 0.125417, 	Val Loss = 0.110481
Epoch 31, 	Batch:3, 	Train Loss = 0.132836, 	Val Loss = 0.110481
Epoch 31, 	Batch:4, 	Train Loss = 0.109072, 	Val Loss = 0.110481
Epoch 31, 	Batch:5, 	Train Loss = 0.103444, 	Val Loss = 0.110481
Epoch 31, 	Batch:6, 	Train Loss = 0.109665, 	Val Loss = 0.110481
Epoch 31, 	Batch:7, 	Train Loss = 0.115948, 	Val Loss = 0.110481
Epoch 32, 	Batch:0, 	Train Loss = 0.162015, 	Val Loss = 0.144321
Epoch 32, 	Batch:1, 	Train Loss = 0.177222, 	Val Loss = 0.144321
Epoch 32, 	Batch:2, 	Train Loss = 0.164850, 	Val Loss = 0.144321
Epoch 32, 	Batch:3, 	Train Loss = 0.173539, 	Val Loss = 0.144321
Epoch 32, 	Batch:4, 	Train Loss = 0.159331, 	Val Loss = 0.144321
Epoch 32, 	Batch:5, 	Train Loss = 0.148587, 	Val Loss = 0.144321
Epoch 32, 	Batch:6, 	Train Loss = 0.144940, 	Val Loss = 0.144321
Epoch 32, 	Batch:7, 	Train Loss = 0.146689, 	Val Loss = 0.144321
Epoch 33, 	Batch:0, 	Train Loss = 0.089543, 	Val Loss = 0.117553
Epoch 33, 	Batch:1, 	Train Loss = 0.155021, 	Val Loss = 0.117553
Epoch 33, 	Batch:2, 	Train Loss = 0.149872, 	Val Loss = 0.117553
Epoch 33, 	Batch:3, 	Train Loss = 0.168901, 	Val Loss = 0.117553
Epoch 33, 	Batch:4, 	Train Loss = 0.167860, 	Val Loss = 0.117553
Epoch 33, 	Batch:5, 	Train Loss = 0.162037, 	Val Loss = 0.117553
